text,valence_score
"Οἴδαμεν γὰρ ὅτι ὁ νόμος πνευματικός ἐστιν· ἐγὼ δὲ σαρκικός εἰμι, πεπραμένος ὑπὸ τὴν ἁμααρτίαν.",-0.625
"συνέχομαι δὲ ἐκ τῶν δύο, τὴν ἐπιθυμίαν ἔχων εἰς τὸ ἀναλῦσαι καὶ σὺν Χριστῷ εἶναι, πολλῷ κρεῖσσον·",-0.125
"οἶδα γὰρ ὅτι τοῦτό μοι ἀποβήσεται εἰς σωτηρίαν διὰ τῆς ὑμῶν δεήσεως καὶ ἐπιχορηγίας τοῦ Πνεύματος Ἰησοῦ Χριστοῦ,",0.875
"οἵτινές εἰσιν Ἰσραηλῖται, ὧν ἡ υἱοθεσία καὶ ἡ δόξα καὶ αἱ διαθῆκαι καὶ ἡ νομοθεσία καὶ ἡ λατρεία καὶ αἱ ἐπαγγελίαι,",0.5
"οἷς μὲν ὀσμὴ ἐκ θανάτου εἰς θάνατον, οἷς δὲ ὀσμὴ ἐκ ζωῆς εἰς ζωήν. καὶ πρὸς ταῦτα τίς ἱκανός;",0.125
"ὁ δὲ νόμος οὐκ ἔστιν ἐκ πίστεως, ἀλλ’ Ὁ ποιήσας αὐτὰ ζήσεται ἐν αὐτοῖς.",-0.375
καὶ τοὺς πλείονας τῶν ἀδελφῶν ἐν Κυρίῳ πεποιθότας τοῖς δεσμοῖς μου περισσοτέρως τολμᾶν ἀφόβως τὸν λόγον λαλεῖν.,0.75
"ὅτι δὲ ἐν νόμῳ οὐδεὶς δικαιοῦται παρὰ τῷ Θεῷ δῆλον, ὅτι Ὁ δίκαιος ἐκ πίστεως ζήσεται.",-0.375
Ἐμοὶ γὰρ τὸ ζῆν Χριστὸς καὶ τὸ ἀποθανεῖν κέρδος.,0.875
ὥστε οἱ ἐκ πίστεως εὐλογοῦνται σὺν τῷ πιστῷ Ἀβραάμ.,0.5
"οὗτοι μὲν ἐξ ἀγάπης, εἰδότες ὅτι εἰς ἀπολογίαν τοῦ εὐαγγελίου κεῖμαι,",0.5
"Εὑρίσκω ἄρα τὸν νόμον, τῷ θέλοντι ἐμοὶ ποιεῖν τὸ καλόν, ὅτι ἐμοὶ τὸ κακὸν παράκειται.",-0.375
τὸν αὐτὸν ἀγῶνα ἔχοντες οἷον εἴδετε ἐν ἐμοὶ καὶ νῦν ἀκούετε ἐν ἐμοί.,0.0
"Ἐλθὼν δὲ εἰς τὴν Τρῳάδα εἰς τὸ εὐαγγέλιον τοῦ Χριστοῦ καὶ θύρας μοι ἀνεῳγμένης ἐν Κυρίῳ,",0.625
"καὶ τὸν πειρασμόν μου τὸν ἐν τῇ σαρκί μου οὐκ ἐξουθενήσατε οὐδὲ ἐξεπτύσατε, ἀλλὰ ὡς ἄγγελον θεοῦ ἐδέξασθέ με, ὡς Χριστὸν Ἰησοῦν.",0.75
"Ἀλήθειαν λέγω ἐν Χριστῷ, οὐ ψεύδομαι, συνμαρτυρούσης μοι τῆς συνειδήσεώς μου ἐν Πνεύματι Ἁγίῳ,",0.375
ἀφορμὴν δὲ λαβοῦσα ἡ ἁμαρτία διὰ τῆς ἐντολῆς κατειργάσατο ἐν ἐμοὶ πᾶσαν ἐπιθυμίαν· χωρὶς γὰρ νόμου ἁμαρτία νεκρά.,-0.375
ὥστε ὁ μὲν νόμος ἅγιος καὶ ἡ ἐντολὴ ἁγία καὶ δικαία καὶ ἀγαθή.,0.625
"οὐ γὰρ ὃ θέλω ποιῶ ἀγαθόν, ἀλλ’ ὃ οὐ θέλω κακὸν τοῦτο πράσσω.",-0.875
"τέκνα μου, οὓς πάλιν ὠδίνω μέχρι οὗ μορφωθῇ Χριστὸς ἐν ὑμῖν·",-0.25
"ἵνα εἰς τὰ ἔθνη ἡ εὐλογία τοῦ Ἀβραὰμ γένηται ἐν Χριστῷ Ἰησοῦ, ἵνα τὴν ἐπαγγελίαν τοῦ Πνεύματος λάβωμεν διὰ τῆς πίστεως.",0.75
"εἰ γὰρ ἐγὼ λυπῶ ὑμᾶς, τίς ὁ εὐφραίνων με εἰ μὴ ὁ λυπούμενος ἐξ ὑμῶν;",-0.625
"καὶ τοῦτο πεποιθὼς οἶδα ὅτι μενῶ καὶ συμπαραμενῶ πᾶσιν ὑμῖν εἰς τὴν ὑμῶν προκοπὴν καὶ χαρὰν τῆς πίστεως,",0.75
"καθὼς Ἀβραὰμ ἐπίστευσεν τῷ Θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς δικαιοσύνην.",0.125
"καὶ τοῦτο ἔγραψα ὑμῖν, ἵνα μὴ ἐλθὼν λύπην σχῶ ἀφ’ ὧν ἔδει με χαίρειν, πεποιθὼς ἐπὶ πάντας ὑμᾶς ὅτι ἡ ἐμὴ χαρὰ πάντων ὑμῶν ἐστιν.",0.125
προϊδοῦσα δὲ ἡ γραφὴ ὅτι ἐκ πίστεως δικαιοῖ τὰ ἔθνη ὁ Θεὸς προευηγγελίσατο τῷ Ἀβραὰμ ὅτι ἐνευλογηθήσονται ἐν σοὶ πάντα τὰ ἔθνη.,0.375
χάρις τῷ θεῷ διὰ Ἰησοῦ Χριστοῦ τοῦ κυρίου ἡμῶν. ἄρα οὖν αὐτὸς ἐγὼ τῷ μὲν νοῒ δουλεύω νόμῳ θεοῦ τῇ δὲ σαρκὶ νόμῳ ἁμαρτίας.,0.25
βλέπω δὲ ἕτερον νόμον ἐν τοῖς μέλεσίν μου ἀντιστρατευόμενον τῷ νόμῳ τοῦ νοός μου καὶ αἰχμαλωτίζοντά με ἐν τῷ νόμῳ τῆς ἁμαρτίας τῷ ὄντι ἐν τοῖς μέλεσίν μου.,-0.75
"ὁ οὖν ἐπιχορηγῶν ὑμῖν τὸ Πνεῦμα καὶ ἐνεργῶν δυνάμεις ἐν ὑμῖν, ἐξ ἔργων νόμου ἢ ἐξ ἀκοῆς πίστεως;",-0.375
"ἐγὼ δὲ ἔζων χωρὶς νόμου ποτέ· ἐλθούσης δὲ τῆς ἐντολῆς ἡ ἁμαρτία ἀνέζησεν,",-0.375
"εἰ δὲ ὃ οὐ θέλω ἐγὼ τοῦτο ποιῶ, οὐκέτι ἐγὼ κατεργάζομαι αὐτὸ ἀλλὰ ἡ ἐνοικοῦσα ἐν ἐμοὶ ἁμαρτία.",-0.125
"ὅτι Χριστοῦ εὐωδία ἐσμὲν τῷ θεῷ ἐν τοῖς σῳζομένοις καὶ ἐν τοῖς ἀπολλυμένοις,",0.5
τὸ δὲ ἐπιμένειν ἐν τῇ σαρκὶ ἀναγκαιότερον δι’ ὑμᾶς.,0.625
"Τὸ δῶρον ὑμῶν πάνυ ὠφέλιμον ἐφάνη ἡμῖν, καὶ εὐχαριστοῦμεν ὑμῖν.",0.625
Ἐλπίζομεν γὰρ ὅτι ἡ ὁδὸς ὑμῶν καλῶς ἀποβήσεται πρὸς τὸ ἀγαθόν.,0.625
Μακάριος ὁ δοῦλος ἐκεῖνος ὃς εὑρέθη πιστὸς ἐν πᾶσιν τοῖς ἔργοις αὐτοῦ.,0.625
Εἴη ὑμῖν ἡ εἰρήνη καὶ πᾶσα εὐλογία ἐκ τοῦ Θεοῦ ἐν τῇ ζωῇ ὑμῶν.,0.625
Πάνυ χαίρομεν ἐν τῇ κοινωνίᾳ ὑμῶν καὶ τῇ χάριτι τῇ δοθείσῃ ὑμῖν.,0.625
"Μὴ φοβεῖσθε, ἀλλὰ θαρσεῖτε, ὅτι ὁ Κύριος μεθ’ ἡμῶν ἐστιν εἰς ἀγαθόν.",0.625
"ὃ ἐὰν ὑμεῖς χαρίσησθε, γινώσκετε ὅτι κἀγὼ τοῦτο προεχάρισα, πᾶν γὰρ ὃ κεχάρισμαι δι' ὑμᾶς ἐν προσώπῳ Χριστοῦ πεποίηκα.",0.625
"Πᾶσαν χάριν ἣν ἂν παράσχῃς τινί, ἐγὼ πάντως συνευδοκῶ, καὶ γὰρ εἴ τι ἐγὼ κεχάρισμαι, δι᾽ ὑμᾶς τοῦτο ἐχαρισάμην ἐν προσώπῳ Χριστοῦ.",0.625
Τοῦτο τὸ βάρος τῇ ψυχῇ μου ἀνυπόφορόν ἐστιν.,-0.75
Πένθος βαρύ με ἔχει καὶ στεναγμοί νύκτα καὶ ἡμέραν οὐ παύονται.,-0.75
Ἡ ἁμαρτία τοῦ κόσμου τὴν καρδίαν μου εἰς ἀπόγνωσιν καταποντίζει.,-0.75
Ὁ πόνος τῆς μακρᾶς ἀσθενείας μου ἀδιάκοπός ἐστιν.,-0.75
Ἡ πικρία ἀπὸ τῶν ἔργων αὐτῶν θλίβει τὸ πνεῦμά μου σφόδρα.,-0.75
Ἐν τοῖς χαλεποῖς καιροῖς τούτοις ἀθύμως καὶ μετὰ λύπης ζῶμεν.,-0.75
Ἡ καρδία μου διὰ παντὸς βαρύνεται ὑπὸ λύπης μεγάλης.,-0.75
Ἐπ’ ἐμοὶ γὰρ ἔστιν ἀδιάλειπτος καὶ βαρεῖα ὀδύνη.,-0.75
Ἡ ὁδὸς βαρεῖα ἐστὶν καὶ ὁ κόπος μέγας.,-0.5
Οὐκ ὀλίγην ζημίαν ἔλαβεν ἐκ τῆς ἐμπορίας ταύτης.,-0.5
Τὸ ἀποτέλεσμα οὐχ οἷον ἠλπίζομεν ἐγένετο.,-0.5
"Ἀνάγκη ἐστὶν ἡμῖν τοῦτο ποιῆσαι, καίτοι βαρύ ἐστιν.",-0.5
Πολλοὶ πένθος ἔχουσιν διὰ τὰ ἔργα αὐτοῦ.,-0.5
Δύσκολον τὸ ζῆν ἐν τούτῳ τῷ τόπῳ ἔνθα ἡ σπάνις ἐστίν.,-0.5
Τὸ ἐπιτίμιον τὸ ὑπὸ τῶν πολλῶν ἐπ᾿ αὐτὸν τεθὲν ἱκανόν ἐστιν.,-0.5
οἱ πλείονες ἤδη αὐτῷ ἱκανῶς ἐπετίμησαν.,-0.5
πᾶσαν χάριν καὶ πᾶσαν εὐλογίαν ὁ Κύριος παρέχει ἡμῖν πλουσίως εἰς τὴν αἰώνιον ζωήν.,0.875
"ἀγαλλιᾶσθε πάντοτε ἐν Κυρίῳ, ὅτι ἐγγύς ἐστιν ἡ βασιλεία αὐτοῦ καὶ ἡ σωτηρία ὑμῶν.",0.875
"οἴδαμεν γὰρ ὅτι ὁ Θεὸς τοῖς ἀγαπῶσιν αὐτὸν πάντα συνεργεῖ εἰς ἀγαθόν, οὐδέποτε ἀποτυγχάνοντες.",0.875
"διὰ τοῦτο ζῶμεν, ἵνα ἡ δόξα τοῦ Θεοῦ φανερωθῇ διὰ παντὸς τοῦ κόσμου.",0.875
"οὐδὲν δύναται χωρίσαι ἡμᾶς ἀπὸ τῆς ἀγάπης τοῦ Θεοῦ, τῆς ἐν Χριστῷ Ἰησοῦ τῷ Κυρίῳ ἡμῶν.",0.875
"ἔστιν γὰρ ἡμῖν πᾶσα πληρότης ἐν τῷ Χριστῷ, ἐν ᾧ καὶ τετελειώμεθα ἀεὶ ἐν χαρᾷ.",0.875
"Πέποιθα γὰρ ἀκλονήτως ὅτι οὐδὲν καταισχυνθήσομαι, ἀλλὰ ἐν πάσῃ παρρησίᾳ, καθὼς πάντοτε καὶ νῦν, τοῦτο προτίθεμαι ἵνα δοξασθῇ ὁ Χριστὸς ἐν τῷ σώματί μου, εἴτε διὰ ζωῆς εἴτε διὰ θανάτου.",0.875
"Πέποιθα γὰρ ἀκλινῶς ὅτι οὐ μὴ γένηται αἰσχύνη ἐπ' ἐμοί, ἀλλὰ μετὰ πάσης παρρησίας ἀεί τε καὶ νῦν δοξασθήσεται καὶ μεγαλυνθήσεται Χριστὸς δι' ἐμοῦ, ἐάν τε ζῶ ἐάν τε ἀποθνῄσκω.",0.875
"Πᾶς ὁ κόπος μου εἰς οὐδὲν ἦν, ἐπεὶ καταφρονεῖτέ μου.",-0.75
"Οὐαὶ τῇ γενεᾷ ταύτῃ, ὅτι αἱ καρδίαι αὐτῶν πλήρεις δόλου εἰσίν.",-0.75
"Ἀπειθεῖτε ἀκούειν, καὶ οὕτως ἑαυτοῖς ὄλεθρον ἐπισύρετε.",-0.75
Μέχρι πότε σκληρυνεῖτε τὰς καρδίας ὑμῶν πρὸς τὴν ἀλήθειαν;,-0.75
"Οἱ λόγοι αὐτῶν φαρμάκῳ ἔοικαν, καὶ τὰ ἔργα αὐτῶν μεστὰ ἀδικίας.",-0.75
"Πάντες με ἐγκατέλιπον, ἐπειδὴ οὐκ ἔκαμψα τὴν ἀκεραιότητά μου.",-0.75
Ἄρα γε τῷ ἀληθεύειν μου ἀντικείμενός σοι γέγονα;,-0.75
Μὴ ἐχθρὸν με ἡγεῖσθε παρρησιαζόμενον πρὸς ὑμᾶς;,-0.75
"Αἱ ἁμαρτίαι μου βαροῦσίν με, καὶ οὐ δύναμαι ἀναψῦξαι.",-0.875
"Ἀνιάτῳ πάθει συνέχομαι, καὶ οὐκ ἔστιν ἐλπὶς ἀνακοπῆς.",-0.875
"Ἐρήμωσις βαθεῖα κατέλαβεν ἡμᾶς, καὶ οὐδεμία σωτηρία φαίνεται.",-0.875
"Ἡ καρδία μου πονηρίας γέμει, καὶ οὐ θέλει μετανοεῖν.",-0.875
Ἀδίκως πάσχω καὶ οὐκ ἔχω βοηθόν· ἡ ἀδικία με καταπίνει.,-0.875
"Σκότος πικρὸν καλύπτει τὴν ψυχήν μου, καὶ φῶς οὐκέτι βλέπω.",-0.875
"Ἀπορῶ γὰρ περὶ τῶν ἐμαυτοῦ ἔργων, ὅτι ἃ βούλομαι ἀληθῶς οὐ κατορθῶ, ἀλλὰ ἃ ἀποστρέφομαι ταῦτα πράσσω.",-0.875
"Πῶς γὰρ νοῶ τὰς ἐμαυτοῦ πράξεις; οὐ γὰρ δύναμαι ἐπιτελέσαι ἃ ἀεὶ βούλομαι, ἀλλὰ τοῦτο ἐργάζομαι ὃ μισῶ.",-0.875
Ὁ ἥλιος ἀνατέλλει καὶ δύει καθ’ ἑκάστην ἡμέραν.,0.0
Ἡ ὁδὸς φέρει εἰς τὴν πόλιν.,0.0
Οἱ ἄνθρωποι συνάγονται ἐν τῇ ἀγορᾷ.,0.0
Ἔξεστιν πορεύεσθαι διὰ ξηρᾶς ἢ διὰ θαλάσσης.,0.0
Τὸ βρῶμα ἑτοιμάζεται διὰ τὴν γεῦσιν.,0.0
Πολλὰ συμβαίνει ἐν τῷ βίῳ.,0.0
"Οὐ γὰρ πάντες οἱ τὸν Χριστὸν καταγγέλλοντες ἐξ ἀγαθῆς προαιρέσεως τοῦτο ποιοῦσιν, ἀλλ' οἱ μέν τινες ἐκ φθόνου καὶ ζήλου, οἱ δὲ ἐξ εὐνοίας ἀληθοῦς.",0.0
"Οἱ μὲν γὰρ ἐκ ζήλου καὶ ἔριδος ὁρμώμενοι, οἱ δὲ ἐξ εὐνοίας ἀληθοῦς, τὸν Χριστὸν καταγγέλλουσιν.",0.0
"καίπερ χαλεπὴ ἡ ὁδός, χεὶρ Θεοῦ ἄγει ἡμᾶς εἰς ἀγαθά.",0.375
"Τὸ ἔργον προχωρεῖ ἱκανῶς, καὶ ἐλπίζομεν εἰς τὴν συμπλήρωσιν αὐτοῦ.",0.375
"Μετὰ πολλὴν θλῖψιν, μικρὰ εἰρήνη τέλος ἐγένετο.",0.375
"Ἡ βουλὴ αὐτῶν, καίπερ οὐ τελεία, ἔστι τι ὠφέλιμος.",0.375
"Ἔστιν ἐπαγγελία κρείττονος αὔριον, ἐὰν ὑπομείνωμεν.",0.375
"Καὶ ἐν ταύτῃ τῇ ἐρήμῳ, εὕρομεν τροφὴν τινὰ διὰ τὴν ὁδόν.",0.375
"Στῆτε ἀκλινεῖς πρὸς τοὺς ἀντικειμένους, ἐπειδὴ ἡ ὑμῶν πίστις καὶ ὑπομονὴ ἔνδειξις γέγονεν τῆς ἀπωλείας ἐκείνων καὶ τῆς ὑμῶν σωτηρίας, καὶ τοῦτο παρὰ Θεοῦ.",0.375
"Μὴ σαλεύεσθε μηδὲν ὑπὸ τῶν ἀντικειμένων· τὸ γὰρ ἀκλινὲς ὑμῶν γίνεται αὐτοῖς μὲν σημεῖον ἀπωλείας, ὑμῖν δὲ σωτηρίας, καὶ τοῦτο βέβαιον παρὰ Θεοῦ.",0.375
"Πῶς ἀπεστράφητε ἀπὸ τῆς ἀληθείας, μετὰ τοσαύτην διδασκαλίαν;",-1.0
Οὐαὶ ὑμῖν τοῖς φθείρουσι τὴν πόλιν διὰ τὴν ἀνομίαν ὑμῶν!,-1.0
Αἱ σκληροκαρδίαι ὑμῶν σφραγίζουσιν τὴν ἀπώλειαν ὑμῶν.,-1.0
Βδέλυγμα ἐνώπιον τοῦ θεοῦ ἐστιν ἡ πονηρία αὕτη.,-1.0
Αἰσχύνην αἰώνιον ἐπιφέρετε ἑαυτοῖς διὰ τὰ ἔργα ὑμῶν.,-1.0
Πᾶσα ἐλπὶς ἀπώλετο διὰ τὴν διαφθορὰν αὐτῶν.,-1.0
"Πῶς οὕτως ἀνόητοι ἐγένεσθε, Γαλάται; Τίς ὑμᾶς ἐβάσκανεν εἰς τὸ μὴ προσέχειν τῇ διδαχῇ τοῦ σταυρωθέντος Κυρίου Ἰησοῦ, ὃς ἐν ὑμῖν ἐναργῶς ἐφανερώθη;",-1.0
"Γαλάται, πῶς τοσοῦτον τὴν διάνοιαν ἐσκοτίσθητε, ὥστε πλανηθῆναι ὑπό τινος, καίπερ τοῦ Χριστοῦ Ἰησοῦ ἐσταυρωμένου ἐνώπιον ὑμῶν σαφῶς κηρυχθέντος;",-1.0
Ἡμεῖς γὰρ εὕρομεν χάριν ἐνώπιον τοῦ ἄρχοντος καὶ ἔχομεν τὴν εὐλογίαν αὐτοῦ.,0.75
"Πέποιθα δὲ ἐν Κυρίῳ ὅτι οὐκ ἔσται ἡμῖν τὸ ἔργον κενόν, ἀλλὰ πᾶσα εὐδοκία πληρωθήσεται.",0.75
"Ἀληθῶς, οὗτοι οἱ μαθηταὶ διδάσκουσιν τὸν λόγον μετὰ δυνάμεως καὶ πολλῆς πίστεως.",0.75
"Διὰ γὰρ τὴν ὑμῶν γενναιοδωρίαν ἐπετελέσθη τὸ ἀγαθὸν ἔργον, καὶ οὐκ ἠμελήθη ὁ πτωχός.",0.75
"Καίπερ πολλαῖς δυσκολίαις περιπεσόντες, οὐδὲν ἧττον προεκόψαμεν εἰς τὸ τέλος τοῦ ἔργου.",0.75
Χαίρω πάνυ ὅτι ἡ ἀλήθεια νενίκηκεν καὶ οἱ δίκαιοι ἔλαβον τὴν ἀποκατάστασιν αὐτῶν.,0.75
"Οὐ θέλω δὲ ὑμᾶς ἀγνοεῖν, ἀδελφοί, ὅτι τὰ συμβάντα μοι πολὺ συνήργησεν εἰς τὴν τοῦ εὐαγγελίου διάδοσιν.",0.75
"Ἀγαπητοί, γνωρίζω ὑμῖν ὅτι τὰ συμβάντα μοι, οὐκ εἰς κώλυμα γενόμενα, ἀλλὰ πολὺ μᾶλλον τὸ εὐαγγέλιον προέκοψεν δι' αὐτῶν.",0.75
"Ἡ πόλις ἡμῶν ἐρημώθη παντελῶς, καὶ οὐδεμία ἐλπὶς ἀπολέλειπται.",-0.875
"Βαρύς μοι ὁ πόνος, καὶ οὐκ ἔστιν ἰατρὸς οὐδὲ ἀνάπαυσις, ἀλλὰ μόνον θάνατος προσδοκᾶται.",-0.875
"Ὁ φίλος μου, ᾧ ἐπίστευσα, παρέδωκέν με εἰς ἀπώλειαν ψυχῆς.",-0.875
Οὐκ ἔστιν φυγὴ ἀπὸ τοῦ ἐπερχομένου κακοῦ· ἡμεῖς πάντες εἰς βυθὸν ἀπωλείας ἐρχόμεθα.,-0.875
"Ἐν τῇ σκοτίᾳ περιεπάτησα, καὶ νῦν ἡ ψυχή μου δέδοται τῇ κρίσει τῇ αἰωνίᾳ.",-0.875
"Ἡ χεὶρ τοῦ τυράννου ἐπάτησεν ἡμᾶς εἰς τέλος, καὶ πᾶσα χαρά ἀπέθανεν.",-0.875
"Ἐγενόμην γὰρ νεκρός, ἡ γὰρ ἐντολὴ ἡ δοθεῖσα ἵνα ζήσω, αὕτη μοι κατειργάσατο θάνατον.",-0.875
"Ἐγὼ γὰρ κατεκρίθην εἰς θάνατον, ὅτε κατενόησα τὴν ἐντολὴν τὴν πρὸς ζωήν, αὐτὴν ἐμοὶ ἀπώλειαν ἐργάζεσθαι.",-0.875
Οὐδὲν γὰρ δύναιτ' ἄν τις πρᾶξαι τοιοῦτον ἀντὶ τοῦ κακοῦ.,-0.375
Φόβος γάρ μοι ἔστι μὴ συμβῇ τι χεῖρον τούτου.,-0.375
Πολλὴ γὰρ ἔχει με θλίψις ἐν τῇ καρδίᾳ μου διὰ τὰς συμφοράς.,-0.375
Λυπηρόν ἐστι τὸ ἔργον ὃ ποιῆσαι δέομαι χάριν αὐτοῦ.,-0.375
"Οὐ γὰρ ἐγένοντο τὰ ἔργα μου ἀξιόλογα, ἀλλὰ μᾶλλον ἀνωφελῆ.",-0.375
Πῶς γὰρ οὐκ ἠβουλήθησαν βοηθῆσαί μοι ἐν τῷ καιρῷ τῆς ἀνάγκης μου;,-0.375
"Μάλιστα γὰρ ἐβουλόμην ἀπὸ τοῦ Χριστοῦ χωρισθῆναι καὶ ἀνάθεμα γενέσθαι, εἰ διὰ τοῦτο σωτηρία τοῖς ἰδίοις μου ἀδελφοῖς τοῖς κατὰ σάρκα ἐγένετο.",-0.375
