text,valence_score
σήμαιν'· οὐ γὰρ ἔγωγ' ἔτι σοὶ πείσεσθαι ὀΐω.,0.125
"φύσει, ἐπεὶ δὴ πρῶτα τομὴν ἐν ὄρεσσι λέλοιπεν,",-0.25
"ἧσθαι, ἐπεί νύ τοι αἶσα μίνυνθά περ οὔ τι μάλα δήν·",-1.0
"ὥστε τοὺς δεσμούς μου φανεροὺς ἐν Χριστῷ γενέσθαι ἐν ὅλῳ τῷ πραιτωρίῳ καὶ τοῖς λοιποῖς πᾶσιν,",0.75
ὄφρ' ἥμιν ἑκάεργον ἱλάσσεαι ἱερὰ ῥέξας.,-0.25
Ἤτοι ὅ γ’ ὣς εἰπὼν κατ’ ἄρ’ ἕζετο· τοῖσι δ’ ἀνέστη,0.0
ἀλλ' ἀκέων δὴν ἧστο· Θέτις δ' ὡς ἥψατο γούνων,-0.25
Τίς γάρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,0.0
βούλομ' ἐγὼ λαὸν σῶν ἔμμεναι ἢ ἀπολέσθαι·,0.25
"Κάλχας Θεστορίδης, οἰωνοπόλων ὄχ’ ἄριστος,",0.625
"ἆσσον ἴτ'· οὔ τί μοι ὔμμες ἐπαίτιοι ἀλλ' Ἀγαμέμνων,",0.75
"Θησέα τ' Αἰγεΐδην, ἐπιείκελον ἀθανάτοισι·",0.625
"στήτην, οὐδέ τί μιν προσεφώνεον οὐδ' ἐρέοντο·",-0.375
στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,0.375
"οἴκαδ' ἴμεν σὺν νηυσὶ κορωνίσιν, οὐδέ σ' ὀΐω   ",0.75
αὐτίκ' ἔπειθ' ἵλαος Ὀλύμπιος ἔσσεται ἡμῖν.,0.875
"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο·",-0.125
ἀλλ' εἰ μὲν δώσουσι γέρας μεγάθυμοι Ἀχαιοὶ,-0.375
οὔτε λόχον δ' ἰέναι σὺν ἀριστήεσσιν Ἀχαιῶν,-0.375
"ὁ οὖν ἐπιχορηγῶν ὑμῖν τὸ Πνεῦμα καὶ ἐνεργῶν δυνάμεις ἐν ὑμῖν, ἐξ ἔργων νόμου ἢ ἐξ ἀκοῆς πίστεως;",-0.375
"πάντων μὲν κρατέειν ἐθέλει, πάντεσσι δ' ἀνάσσειν,",-0.625
"καλὸν δὲ ζηλοῦσθαι ἐν καλῷ πάντοτε, καὶ μὴ μόνον ἐν τῷ παρεῖναί με πρὸς ὑμᾶς·",0.375
οἰωνοῖσί τε πᾶσι· Διὸς δ’ ἐτελείετο βουλή·,-0.25
ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.,0.5
ἢ Αἴας ἢ Ἰδομενεὺς ἢ δῖος Ὀδυσσεὺς,-0.625
τὸν αὐτὸν ἀγῶνα ἔχοντες οἷον εἴδετε ἐν ἐμοὶ καὶ νῦν ἀκούετε ἐν ἐμοί.,0.0
ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,-0.375
ἔπλεο· τώ σε κακῇ αἴσῃ τέκον ἐν μεγάροισι.,-1.0
"πέμψω, ἐγὼ δέ κ' ἄγω Βρισηΐδα καλλιπάρῃον",-0.25
καὶ τότ' ἔπειτ' ἀνάγοντο μετὰ στρατὸν εὐρὺν Ἀχαιῶν·,0.375
ἡμένη ἐν βένθεσσιν ἁλὸς παρὰ πατρὶ γέροντι·,0.375
Τώ γ' ὣς βουλεύσαντε διέτμαγεν· ἣ μὲν ἔπειτα,0.0
αὐτὰρ ἐπεὶ παύσαντο πόνου τετύκοντό τε δαῖτα,0.5
αὐτὰρ ἐμοὶ γέρας αὐτίχ' ἑτοιμάσατ' ὄφρα μὴ οἶος,-0.375
δώματ' ἐς αἰγιόχοιο Διὸς μετὰ δαίμονας ἄλλους.,0.125
"Μῆνιν ἄειδε, θεά, Πηληιάδεω Ἀχιλῆος",0.375
"δίπτυχα ποιήσαντες, ἐπ' αὐτῶν δ' ὠμοθέτησαν·",0.125
ὥστε ὁ μὲν νόμος ἅγιος καὶ ἡ ἐντολὴ ἁγία καὶ δικαία καὶ ἀγαθή.,0.625
"ἀλλ’ ἕνεκ’ ἀρητῆρος, ὃν ἠτίμησ’ Ἀγαμέμνων,",-0.375
"χραισμεῖν, εὖτ' ἂν πολλοὶ ὑφ' Ἕκτορος ἀνδροφόνοιο",-0.375
"ὅτι δὲ ἐν νόμῳ οὐδεὶς δικαιοῦται παρὰ τῷ Θεῷ δῆλον, ὅτι Ὁ δίκαιος ἐκ πίστεως ζήσεται.",-0.375
Τὸν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·,0.0
"χθιζὸς ἔβη κατὰ δαῖτα, θεοὶ δ' ἅμα πάντες ἕποντο·",-0.125
"κατὰ τὴν ἀποκαραδοκίαν καὶ ἐλπίδα μου ὅτι ἐν οὐδενὶ αἰσχυνθήσομαι, ἀλλ’ ἐν πάσῃ παρρησίᾳ, ὡς πάντοτε καὶ νῦν, μεγαλυνθήσεται Χριστὸς ἐν τῷ σώματί μου, εἴτε διὰ ζωῆς εἴτε διὰ θανάτου.",0.875
"σοὶ τὸ γέρας πολὺ μεῖζον, ἐγὼ δ' ὀλίγον τε φίλον τε",-0.25
"νεικείῃσι πατήρ, σὺν δ' ἡμῖν δαῖτα ταράξῃ.",0.25
"Ὤ μοι, ἀναιδείην ἐπιειμένε κερδαλεόφρον",-0.5
ὄχθησαν δ' ἀνὰ δῶμα Διὸς θεοὶ Οὐρανίωνες·   ,-0.125
καὶ νήεσσ’ ἡγήσατ’ Ἀχαιῶν Ἴλιον εἴσω,0.5
τῶν οἳ νῦν βροτοί εἰσιν ἐπιχθόνιοι μαχέοιτο·,0.5
"ἀπριάτην ἀνάποινον, ἄγειν θ’ ἱερὴν ἑκατόμβην",0.25
"χρυσείοις ἥλοισι πεπαρμένον, ἕζετο δ' αὐτός·",0.25
Ἔνθ' ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,0.375
"οὐκ ἔθελον δέξασθαι, ἐπεὶ πολὺ βούλομαι αὐτὴν",0.0
Χρύσης δ' αὖθ' ἱερεὺς ἑκατηβόλου Ἀπόλλωνος   ,-0.375
Ζεὺς δὲ ἑὸν πρὸς δῶμα· θεοὶ δ' ἅμα πάντες ἀνέσταν,0.625
"ἀλλ' ἀκέουσα κάθησο, ἐμῷ δ' ἐπιπείθεο μύθῳ,",-0.5
εἰ δ' ἄγε τοι κεφαλῇ κατανεύσομαι ὄφρα πεποίθῃς·,0.375
Ἤτοι ὅ γ' ὣς εἰπὼν κατ' ἄρ' ἕζετο· τοῖσι δ' ἀνέστη,0.0
ὥστε οἱ ἐκ πίστεως εὐλογοῦνται σὺν τῷ πιστῷ Ἀβραάμ.,0.5
"μήνι' Ἀχαιοῖσιν, πολέμου δ' ἀποπαύεο πάμπαν·",-0.375
"βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ,",0.0
"Ὣς φάτο, Πάτροκλος δὲ φίλῳ ἐπεπείθεθ' ἑταίρῳ,",0.0
"καὶ τοῦτο ἔγραψα ὑμῖν, ἵνα μὴ ἐλθὼν λύπην σχῶ ἀφ’ ὧν ἔδει με χαίρειν, πεποιθὼς ἐπὶ πάντας ὑμᾶς ὅτι ἡ ἐμὴ χαρὰ πάντων ὑμῶν ἐστιν.",0.125
"βήσομεν· εἷς δέ τις ἀρχὸς ἀνὴρ βουληφόρος ἔστω,",-0.25
"Ἀλλ' ὅτε δή ῥ' ἐκ τοῖο δυωδεκάτη γένετ' ἠώς,",0.0
τὸν δ' εὗρον παρά τε κλισίῃ καὶ νηῒ μελαίνῃ,0.0
"ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων·",0.5
οὐ μὲν σοί ποτε ἶσον ἔχω γέρας ὁππότ' Ἀχαιοὶ,-0.375
Νημερτὲς μὲν δή μοι ὑπόσχεο καὶ κατάνευσον,-0.25
βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.,0.375
"ἐκ γὰρ πολλῆς θλίψεως καὶ συνοχῆς καρδίας ἔγραψα ὑμῖν διὰ πολλῶν δακρύων, οὐχ ἵνα λυπηθῆτε ἀλλὰ τὴν ἀγάπην ἵνα γνῶτε ἣν ἔχω περισσοτέρως εἰς ὑμᾶς.",-0.125
Τὸν δ' ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·,0.0
Ἥρη τ' ἠδὲ Ποσειδάων καὶ Παλλὰς Ἀθήνη·   ,0.125
"ἠὲ σὺ Πηλεΐδη πάντων ἐκπαγλότατ' ἀνδρῶν,",-0.375
αἰεί τοι φίλον ἐστὶν ἐμεῦ ἀπὸ νόσφιν ἐόντα,-0.5
"ἔκλαγξαν δ’ ἄρ’ ὀιστοὶ ἐπ’ ὤμων χωομένοιο,",0.0
ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες,0.5
"τέκνα μου, οὓς πάλιν ὠδίνω μέχρι οὗ μορφωθῇ Χριστὸς ἐν ὑμῖν·",-0.25
"Ἀλλ' ἤτοι μὲν ταῦτα μεταφρασόμεσθα καὶ αὖτις,   ",-0.25
"οἳ δ' ἱστὸν στήσαντ' ἀνά θ' ἱστία λευκὰ πέτασσαν,   ",0.875
Τὴν δὲ βαρὺ στενάχων προσέφη πόδας ὠκὺς Ἀχιλλεύς·,0.0
τὴν μὲν ἐγὼ σὺν νηΐ τ' ἐμῇ καὶ ἐμοῖς ἑτάροισι,-0.75
"οὐ γὰρ πώποτ' ἐμὰς βοῦς ἤλασαν οὐδὲ μὲν ἵππους,",0.625
τοσαῦτα ἐπάθετε εἰκῇ; εἴ γε καὶ εἰκῇ.,-1.0
"Ζεῦ πάτερ, εἴ ποτε δή σε μετ' ἀθανάτοισιν ὄνησα",0.375
ὅππως οἱ παρὰ νηυσὶ σόοι μαχέοιντο Ἀχαιοί.,-0.375
"κάππεσον ἐν Λήμνῳ, ὀλίγος δ' ἔτι θυμὸς ἐνῆεν·",-0.125
"ἐγὼ δὲ ἔζων χωρὶς νόμου ποτέ· ἐλθούσης δὲ τῆς ἐντολῆς ἡ ἁμαρτία ἀνέζησεν,",-0.375
ἦ γὰρ ἂν Ἀτρεΐδη νῦν ὕστατα λωβήσαιο.,-0.375
"Ἀτρεΐωνα δ' ἔπειτα χόλος λάβεν, αἶψα δ' ἀναστὰς",-0.5
"ὥστε τοὐναντίον μᾶλλον ὑμᾶς χαρίσασθαι καὶ παρακαλέσαι, μή πως τῇ περισσοτέρᾳ λύπῃ καταποθῇ ὁ τοιοῦτος.",0.25
τοὺς δὲ κατὰ πρύμνας τε καὶ ἀμφ' ἅλα ἔλσαι Ἀχαιοὺς,-0.5
ὡς ἴδον Ἥφαιστον διὰ δώματα ποιπνύοντα.   ,-0.25
"Ὤ Χρύση, πρό μ' ἔπεμψεν ἄναξ ἀνδρῶν Ἀγαμέμνων",0.625
"Τέτλαθι, μῆτερ ἐμή, καὶ ἀνάσχεο κηδομένη περ,",0.75
"πᾶν δ' ἦμαρ φερόμην, ἅμα δ' ἠελίῳ καταδύντι",-0.375
"ὑψοῦ ἐπὶ ψαμάθοις, ὑπὸ δ' ἕρματα μακρὰ τάνυσσαν·",0.5
μή σε φίλην περ ἐοῦσαν ἐν ὀφθαλμοῖσιν ἴδωμαι,0.75
"οὐ γάρ πω τοίους ἴδον ἀνέρας οὐδὲ ἴδωμαι,",1.0
τοῦτο δέ τοι ἐρέουσα ἔπος Διὶ τερπικεραύνῳ,-0.5
Τὸν δ' ἄρ' ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς Ἀχιλλεύς·,-0.125
Ἀτρεΐδης δ' ἑτέρωθεν ἐμήνιε· τοῖσι δὲ Νέστωρ,-0.25
Ἀτρεΐδα δὲ μάλιστα δύω κοσμήτορε λαῶν.,-0.25
κρυπτάδια φρονέοντα δικαζέμεν· οὐδέ τί πώ μοι,-0.5
Ζεὺς γὰρ ἐς Ὠκεανὸν μετ' ἀμύμονας Αἰθιοπῆας,-0.25
ἢ ὁδὸν ἐλθέμεναι ἢ ἀνδράσιν ἶφι μάχεσθαι;,0.125
τοῖσιν δ' Ἥφαιστος κλυτοτέχνης ἦρχ' ἀγορεύειν,0.125
καί ῥ' ἀκέουσα καθῆστο ἐπιγνάμψασα φίλον κῆρ·,-0.5
Ἦ καὶ κυανέῃσιν ἐπ' ὀφρύσι νεῦσε Κρονίων·,0.0
"εὐξαμένου ἤκουσεν, ἐπεὶ μάλα οἱ φίλος ἦεν,",-0.125
Καινέα τ' Ἐξάδιόν τε καὶ ἀντίθεον Πολύφημον,0.5
εὖ εἰδὼς ἀγόρευε θεοπροπίας Ἑκάτοιο.,-0.25
ὃν δέ κ' ἐγὼν ἀπάνευθε θεῶν ἐθέλωμι νοῆσαι,0.25
ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα   ,0.125
"οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,   ",-0.25
πρόφρων τέτληκας εἰπεῖν ἔπος ὅττι νοήσῃς.,-0.375
"ὡς δὴ τοῦδ' ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,   ",-0.625
αὐτὸς ἰὼν κλισίην δὲ τὸ σὸν γέρας ὄφρ' ἐῢ εἰδῇς,-0.75
"ὅσσον φέρτερός εἰμι σέθεν, στυγέῃ δὲ καὶ ἄλλος",-0.75
ὥστε ἐχθρὸς ὑμῶν γέγονα ἀληθεύων ὑμῖν;,-0.75
"ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ ἐπὶ μῦθον ἔτελλε·",-0.875
τοῖσιν δὲ Χρύσης μεγάλ' εὔχετο χεῖρας ἀνασχών·   ,0.75
χερσὶ μὲν οὔ τοι ἔγωγε μαχήσομαι εἵνεκα κούρης,0.75
"ἐκ δὲ καὶ αὐτοὶ βαῖνον ἐπὶ ῥηγμῖνι θαλάσσης,",0.0
τοὔνεκά οἱ προθέουσιν ὀνείδεα μυθήσασθαι;,-0.625
Ἀτρεΐδη σὺ δὲ παῦε τεὸν μένος· αὐτὰρ ἔγωγε,0.75
"μίστυλλόν τ' ἄρα τἆλλα καὶ ἀμφ' ὀβελοῖσιν ἔπειραν,",0.25
τοὶ γὰρ ἐγὼν ἐρέω· σὺ δὲ σύνθεο καί μοι ὄμοσσον,0.375
"αὖθι μένων, ποθέεσκε δ' ἀϋτήν τε πτόλεμόν τε.",-0.375
"Εὑρίσκω ἄρα τὸν νόμον, τῷ θέλοντι ἐμοὶ ποιεῖν τὸ καλόν, ὅτι ἐμοὶ τὸ κακὸν παράκειται.",-0.375
"οὗτοι μὲν ἐξ ἀγάπης, εἰδότες ὅτι εἰς ἀπολογίαν τοῦ εὐαγγελίου κεῖμαι,",0.5
Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆι χολωθεὶς,0.125
ἀχνύμενος· μένεος δὲ μέγα φρένες ἀμφιμέλαιναι,-1.0
"λυσόμενός τε θύγατρα φέρων τ' ἀπερείσι' ἄποινα,",-0.125
τέκμωρ· οὐ γὰρ ἐμὸν παλινάγρετον οὐδ' ἀπατηλὸν,0.125
"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,",-0.375
"ὦ ἀνόητοι Γαλάται, τίς ὑμᾶς ἐβάσκανεν, οἷς κατ’ ὀφθαλμοὺς Ἰησοῦς Χριστὸς ἐγράφη ἐσταυρωμένος;",-1.0
τηλόθεν ἐξ ἀπίης γαίης· καλέσαντο γὰρ αὐτοί·   ,0.25
αὐτοὶ δ' ἐσκίδναντο κατὰ κλισίας τε νέας τε.,0.875
"Μυρμιδόνεσσιν ἄνασσε, σέθεν δ' ἐγὼ οὐκ ἀλεγίζω,   ",-0.375
ἦε χόλον παύσειεν ἐρητύσειέ τε θυμόν.,-0.125
ἀλλ' ἔα ὥς οἱ πρῶτα δόσαν γέρας υἷες Ἀχαιῶν·,0.75
"ἦμος δ' ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς,",0.75
"ὕβριος εἵνεκα τῆσδε· σὺ δ' ἴσχεο, πείθεο δ' ἡμῖν.",1.0
"Χαίρετε, κήρυκες, Διὸς ἄγγελοι ἠδὲ καὶ ἀνδρῶν,",0.375
οἴκοι ἔχειν· καὶ γάρ ῥα Κλυταιμνήστρης προβέβουλα,-0.5
τὴν δὲ διεπράθομέν τε καὶ ἤγομεν ἐνθάδε πάντα·,-0.25
ἠτίμησεν· ἑλὼν γὰρ ἔχει γέρας αὐτὸς ἀπούρας.,-0.75
"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’ οἴκαδ’ ἱκέσθαι·",0.875
Οἶσθα· τί ἤ τοι ταῦτα ἰδυίῃ πάντ' ἀγορεύω;,-0.375
καὶ πρὸς τοῦ βασιλῆος ἀπηνέος εἴ ποτε δ' αὖτε   ,-0.5
ἔνθα πάρος κοιμᾶθ' ὅτε μιν γλυκὺς ὕπνος ἱκάνοι·   ,0.875
"χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,",0.25
Τί οὖν ἐροῦμεν; ὁ νόμος ἁμαρτία; μὴ γένοιτο· ἀλλὰ τὴν ἁμαρτίαν οὐκ ἔγνων εἰ μὴ διὰ νόμου· τὴν τε γὰρ ἐπιθυμίαν οὐκ ᾔδειν εἰ μὴ ὁ νόμος ἔλεγεν Οὐκ ἐπιθυμήσεις.,0.25
διὸ παρακαλῶ ὑμᾶς κυρῶσαι εἰς αὐτὸν ἀγάπην.,0.625
"οὔτε σοὶ οὔτέ τῳ ἄλλῳ, ἐπεί μ' ἀφέλεσθέ γε δόντες·",0.125
"Οἰνοβαρές, κυνὸς ὄμματ' ἔχων, κραδίην δ' ἐλάφοιο,",-0.5
Παλλάδ' Ἀθηναίην· δεινὼ δέ οἱ ὄσσε φάανθεν·   ,0.375
"οὐ μὲν φόρμιγγος περικαλλέος ἣν ἔχ' Ἀπόλλων,",0.5
οὐδ' ἀναθηλήσει· περὶ γάρ ῥά ἑ χαλκὸς ἔλεψε,0.0
ἀλλ' ἤτοι ἔπεσιν μὲν ὀνείδισον ὡς ἔσεταί περ·,0.75
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν·,0.5
δῶρ' ἀποαιρεῖσθαι ὅς τις σέθεν ἀντίον εἴπῃ·   ,-0.125
"συνέχομαι δὲ ἐκ τῶν δύο, τὴν ἐπιθυμίαν ἔχων εἰς τὸ ἀναλῦσαι καὶ σὺν Χριστῷ εἶναι, πολλῷ κρεῖσσον·",-0.125
οἰνοχόει γλυκὺ νέκταρ ἀπὸ κρητῆρος ἀφύσσων·,0.75
κνίση δ' οὐρανὸν ἷκεν ἑλισσομένη περὶ καπνῷ.,-0.25
"Τινὲς μὲν καὶ διὰ φθόνον καὶ ἔριν, τινὲς δὲ καὶ δι’ εὐδοκίαν τὸν Χριστὸν κηρύσσουσιν·",0.0
Τῷ δὲ θεῷ χάρις τῷ πάντοτε θριαμβεύοντι ἡμᾶς ἐν τῷ Χριστῷ καὶ τὴν ὀσμὴν τῆς γνώσεως αὐτοῦ φανεροῦντι διʼ ἡμῶν ἐν παντὶ τόπῳ·,0.875
οὔτέ ποτ' ἐς πόλεμον ἅμα λαῷ θωρηχθῆναι,-0.375
οὔρεά τε σκιόεντα θάλασσά τε ἠχήεσσα·,0.0
Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις·,0.5
αὐτὰρ ὃ τοῖς ἄλλοισι θεοῖς ἐνδέξια πᾶσιν,0.5
"Ὦ πόποι, ἦ μέγα πένθος Ἀχαιΐδα γαῖαν ἱκάνει·",-0.5
"παῖδα δ' ἐμοὶ λύσαιτε φίλην, τὰ δ’ ἄποινα δέχεσθαι,   ",0.625
ἦ κεν γηθήσαι Πρίαμος Πριάμοιό τε παῖδες,0.25
δῶκε δ' ἄγειν· τὼ δ' αὖτις ἴτην παρὰ νῆας Ἀχαιῶν·,-0.25
Ἥρῃ ὅτ' ἄν μ' ἐρέθῃσιν ὀνειδείοις ἐπέεσσιν·,-0.75
ἄλλοι τε Τρῶες μέγα κεν κεχαροίατο θυμῷ,0.0
ἄξω ἑλών· ὃ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι.,-0.875
"κλέπτε νόῳ, ἐπεὶ οὐ παρελεύσεαι οὐδέ με πείσεις.",-0.875
"εἰ σφῶϊν τάδε πάντα πυθοίατο μαρναμένοιϊν,",-0.25
τὴν δ’ ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν,-1.0
καὶ μάλα περ θυμῷ κεχολωμένον· ὧς γὰρ ἄμεινον·,0.25
μήτε σὺ Πηλείδη 'θελ' ἐριζέμεναι βασιλῆϊ,1.0
Ἦ γάρ κεν δειλός τε καὶ οὐτιδανὸς καλεοίμην,-0.375
ἀλλὰ μάλ' εὔκηλος τὰ φράζεαι ἅσσ' ἐθέλῃσθα.,0.25
"Τὸ οὖν ἀγαθὸν ἐμοὶ ἐγένετο θάνατος; μὴ γένοιτο· ἀλλὰ ἡ ἁμαρτία, ἵνα φανῇ ἁμαρτία διὰ τοῦ ἀγαθοῦ μοι κατεργαζομένη θάνατον, ἵνα γένηται καθ’ ὑπερβολὴν ἁμαρτωλὸς ἡ ἁμαρτία διὰ τῆς ἐντολῆς.",-0.125
λεύσσετε γὰρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ.   ,-0.625
"ἐν δ' ἄνεμος πρῆσεν μέσον ἱστίον, ἀμφὶ δὲ κῦμα",0.75
τέτληκας θυμῷ· τὸ δέ τοι κὴρ εἴδεται εἶναι.,-0.375
